0d
time=1486867006, type=1, code=28, value=458879
time=1486841471, type=1, code=28, value=458879
time=1486865087, type=1, code=28, value=458879
time=1486839550, type=1, code=28, value=458879
time=1486879542, type=1, code=28, value=458879
time=1486870399, type=1, code=28, value=458879
time=1486844863, type=1, code=28, value=458879
time=1486868471, type=1, code=28, value=458879
time=1486318583, type=1, code=28, value=458879
time=1486341687, type=1, code=28, value=458879
time=1486316159, type=1, code=28, value=458879
time=1486356159, type=1, code=28, value=458879
time=1486346999, type=1, code=28, value=458879
time=1486321463, type=1, code=28, value=458879
time=1486345079, type=1, code=28, value=458879
time=1486319543, type=1, code=28, value=458879
time=1486310399, type=1, code=28, value=458879
time=1486350911, type=1, code=28, value=458879
time=1486308991, type=1, code=28, value=458879
time=1486348991, type=1, code=28, value=458879
time=1486323455, type=1, code=28, value=458879
time=1486838583, type=1, code=28, value=458879
time=1486878583, type=1, code=28, value=458879
time=1486836671, type=1, code=28, value=458879
time=1486876663, type=1, code=28, value=458879
time=1486867031, type=1, code=28, value=458879
time=1486841463, type=1, code=28, value=458879
time=1486865087, type=1, code=28, value=458879
time=1486839543, type=1, code=28, value=458879
time=1486879543, type=1, code=28, value=458879
time=1486870391, type=1, code=28, value=458879
time=1486844863, type=1, code=28, value=458879
time=1486868471, type=1, code=28, value=458879
time=1486318587, type=1, code=28, value=458879
time=1486341694, type=1, code=28, value=458879
time=1486316154, type=1, code=28, value=458879
time=1486356216, type=1, code=28, value=458879
time=1486347039, type=1, code=28, value=458879
time=1486321502, type=1, code=28, value=458879
time=1486345112, type=1, code=28, value=458879
time=1486319577, type=1, code=28, value=458879
time=1486310938, type=1, code=28, value=458879
time=1486350910, type=1, code=28, value=458879
time=1486309017, type=1, code=28, value=458879
time=1486349016, type=1, code=28, value=458879
time=1486323452, type=1, code=28, value=458879
time=1486838591, type=1, code=28, value=458879
time=1486878591, type=1, code=28, value=458879
time=1486836668, type=1, code=28, value=458879
time=1486876666, type=1, code=28, value=458879
time=1486867007, type=1, code=28, value=458879
time=1486841468, type=1, code=28, value=458879
time=1486865086, type=1, code=28, value=458879
time=1486839551, type=1, code=28, value=458879
time=1486868028, type=1, code=28, value=458879
.d
time=1486346787, type=1, code=69, value=458879
time=1486346787, type=1, code=83, value=458879
time=1486355367, type=1, code=69, value=458879
.u
time=1486341807, type=1, code=83, value=458879
time=1486341807, type=1, code=69, value=458879
time=1486349879, type=1, code=69, value=458879
